Start,Duration,Pitch,Velocity,Instrument
1.0,12.0,63,127,instrument
1.0,12.0,67,127,instrument
1.0,12.0,70,127,instrument
13.0,1.0,70,127,instrument
13.0,1.0,74,127,instrument
13.0,1.0,77,127,instrument
13.0,1.0,80,127,instrument
14.0,1.0,63,127,instrument
14.0,1.0,67,127,instrument
14.0,1.0,70,127,instrument
15.0,1.0,70,127,instrument
15.0,1.0,74,127,instrument
15.0,1.0,77,127,instrument
15.0,1.0,80,127,instrument
16.0,1.0,63,127,instrument
16.0,1.0,67,127,instrument
16.0,1.0,70,127,instrument
17.0,1.0,70,127,instrument
17.0,1.0,74,127,instrument
17.0,1.0,77,127,instrument
18.0,1.0,63,127,instrument
18.0,1.0,67,127,instrument
18.0,1.0,70,127,instrument
19.0,1.0,70,127,instrument
19.0,1.0,74,127,instrument
19.0,1.0,77,127,instrument
20.0,1.0,63,127,instrument
20.0,1.0,67,127,instrument
20.0,1.0,70,127,instrument
21.0,1.0,70,127,instrument
21.0,1.0,74,127,instrument
21.0,1.0,77,127,instrument
22.0,1.0,63,127,instrument
22.0,1.0,67,127,instrument
22.0,1.0,70,127,instrument
23.0,1.0,70,127,instrument
23.0,1.0,74,127,instrument
23.0,1.0,77,127,instrument
24.0,1.0,63,127,instrument
24.0,1.0,67,127,instrument
24.0,1.0,70,127,instrument
25.0,4.0,68,127,instrument
25.0,4.0,72,127,instrument
25.0,4.0,75,127,instrument
25.0,4.0,78,127,instrument
29.0,4.0,61,127,instrument
29.0,4.0,65,127,instrument
29.0,4.0,68,127,instrument
33.0,2.0,65,127,instrument
33.0,2.0,69,127,instrument
33.0,2.0,72,127,instrument
33.0,2.0,75,127,instrument
35.0,2.0,59,127,instrument
35.0,2.0,63,127,instrument
35.0,2.0,66,127,instrument
35.0,2.0,69,127,instrument
37.0,5.0,63,127,instrument
37.0,5.0,67,127,instrument
37.0,5.0,70,127,instrument
42.0,1.0,60,127,instrument
42.0,1.0,64,127,instrument
42.0,1.0,67,127,instrument
42.0,1.0,70,127,instrument
42.0,1.0,73,127,instrument
43.0,1.0,65,127,instrument
43.0,1.0,68,127,instrument
43.0,1.0,70,127,instrument
43.0,1.0,72,127,instrument
44.0,1.0,68,127,instrument
44.0,1.0,72,127,instrument
44.0,1.0,75,127,instrument
44.0,1.0,82,127,instrument
45.0,2.0,70,127,instrument
45.0,2.0,74,127,instrument
45.0,2.0,77,127,instrument
45.0,2.0,80,127,instrument
47.0,6.0,63,127,instrument
47.0,6.0,67,127,instrument
47.0,6.0,70,127,instrument
53.0,5.659999999999997,63,127,instrument
53.0,5.659999999999997,66,127,instrument
